Year,Candidate,Sex,Age,Party,Vote,Vote_num,Pledge,Vote_p,Vote_num_p,Career,Result,Result_p,Type
2021,浜中のりかた,Male,38,Liberal Democrats,31.57,21160,N/A,N/A,N/A,N/A,1,N/A,都議
2021,桐山ひとみ,Female,49,Tokyo Citizens First,27.72,18580,N/A,38.36,30650,N/A,1,1,都議
2021,石毛しげる,Male,66,Constitutional Democrats,24.99,16751,N/A,25.84,20647,N/A,0,1,都議
2021,いでしげ美津子,Female,57,Japan Communist,15.72,10534,N/A,16.03,12196,N/A,0,0,都議
2017,桐山ひとみ,Female,45,Tokyo Citizens First,38.36,30650,N/A,N/A,N/A,N/A,1,N/A,都議
2017,石毛しげる,Male,62,Non,25.84,20647,N/A,20.88,12781,N/A,1,1,都議
2017,山田忠良,Male,36,Liberal Democrats,20.66,16511,N/A,N/A,N/A,N/A,0,N/A,都議
2017,中村すぐる,Male,30,Japan Communist,15.14,12102,N/A,N/A,N/A,N/A,0,N/A,都議
2013,山田忠昭,Male,65,Liberal Democrats,34.88,21344,N/A,29.09,22133,N/A,1,1,都議
2013,石毛しげる,Male,58,Democrats,20.88,12781,N/A,54.88,41749,N/A,1,1,都議
2013,森てるお,Male,64,Non,19.12,11703,N/A,N/A,N/A,N/A,0,N/A,都議
2013,山崎英昭,Male,41,Japan Restoration,11.09,6790,N/A,N/A,N/A,N/A,0,N/A,都議
2013,朝倉文男,Male,65,Japan Communist,9.54,5841,N/A,N/A,N/A,N/A,0,N/A,都議
2013,山口あずさ,Female,51,Livelihood,4.48,2742,N/A,N/A,N/A,N/A,0,N/A,都議
2009,石毛しげる,Male,54,Democrats,54.88,41749,N/A,32.41,18874,N/A,1,1,都議
2009,山田忠昭,Male,61,Liberal Democrats,29.09,22133,N/A,30.46,17739,N/A,1,1,都議
2009,いでしげ美津子,Female,45,Japan Communist,16.03,12196,N/A,N/A,N/A,N/A,0,N/A,都議
2005,石毛しげる,Male,50,Democrats,32.41,18874,N/A,N/A,N/A,N/A,1,N/A,都議
2005,山田忠昭,Male,57,Liberal Democrats,30.46,17739,N/A,31.83,20963,N/A,1,1,都議
2005,くらの雅章,Male,36,Non,20.61,12000,N/A,N/A,N/A,N/A,0,N/A,都議
2005,藤岡ともあき,Male,59,Japan Communist,15.71,9150,N/A,16.29,10727,N/A,0,0,都議
2005,ふなま憲一,Male,N/A,Non,0.8,465,N/A,N/A,N/A,N/A,0,N/A,都議
2001,山田忠昭,Male,53,Liberal Democrats,31.83,20963,N/A,N/A,N/A,N/A,1,N/A,都議
2001,坂口こうじ,Male,54,Democrats,30.42,20034,N/A,N/A,N/A,N/A,1,N/A,都議
2001,こみね和美,Male,50,Non,21.47,14138,N/A,N/A,N/A,N/A,0,N/A,都議
2001,藤岡ともあき,Male,55,Japan Communist,16.29,10727,N/A,N/A,N/A,N/A,0,N/A,都議
2021,池沢たかし,Male,62,Non,48.76,34299,"{Welfare:[医療従事者支援, PCR検査体制維持, 介護保険料引き下げ], Education:[なし], City:[なし], Other:[電子決済ポイント還元]}",N/A,N/A,西東京市役所（旧保谷市役所）勤務39年。前市長市政にて副市長,1,N/A,市長
2021,平井竜一,Male,54,Non,46.61,32785,"{Welfare:[子育て支援, 高齢者福祉, 障がい者福祉], Education:[文化芸術活動], City:[新図書館建設], Other:[持続可能な街づくり, 災害時の迅速な判断, 財政再建]}",N/A,N/A,2006年逗子市長（3期）,0,N/A,市長
2021,保谷美智夫,Male,63,Non,4.63,3256,"{Welfare:[子育て支援, 高齢者福祉], Education:[入園・入学・進級祝い金], City:[商工業の拠点づくり], Other:[行政サービス拡充]}",N/A,N/A,N/A,0,N/A,市長
2017,丸山浩一,Male,74,Non,62.96,33486,"{Welfare:[地域包括支援システム構築, 障がい者福祉, 待機児童解消], Education:[いじめ・虐待防止], City:[耐震化, 空き家対策, 西武線連続立体化, 駅前広場整備], Other:[シティプロモーション, 商店街活性化, 女性活躍]}",52.9,30291,医学博士,1,1,市長
2017,杉山昭吉,Male,67,Non,37.04,19698,"{Welfare:[がん検診無料化, 健康保険料引き下げ, 子育て支援, 高齢者福祉], Education:[給付型奨学金], City:[公共事業による雇用創出], Other:[市民の政治参加]}",N/A,N/A,前職は電気機器メーカー,0,N/A,市長
2013,森しんいち,Male,54,Non,37.41,20428,N/A,N/A,N/A,N/A,1,N/A,市議補
2013,山口あずさ,Male,53,Non,23.12,12626,N/A,N/A,N/A,N/A,N/A,N/A,市議補
2013,たきしま喜重,Male,47,Non,20.56,11224,N/A,N/A,N/A,N/A,N/A,N/A,市議補
2013,朝倉文男,Male,65,Japan Communist,18.9,10326,N/A,N/A,N/A,N/A,N/A,N/A,市議補
2022,長井秀和,Male,53,Non,5.38,3482,"{Welfare:[農業と福祉, コロナ禍での事業者救済],
 Education:[英語教育], City:[なし], Other:[カルト被害救済, 共同親権]}",N/A,N/A,自身も宗教2世で、宗教被害者のケアに力を入れている。,1,N/A,市議
2022,田村ひろゆき,Male,44,Non,4.33,2800,"{Welfare:[学校給食無償化, 子育てセンター拡充, 
高齢者福祉, 歩きたばこ禁止], Education:[子ども議会], City:[交通空白地域支援, 自転車回遊性向上, ホームドア, 田無駅南口駅前広場整備, 旧施設跡地活用, 下野谷遺跡活用, 災害対策（豪雨）, 再エネ導入, 歩行者安全性向上], Other:[審議会オンライン化, 期日前投票所増設]}",2.48,1497,高校生・大学生の政治家体験プログラムの運営経験がある。,1,1,市議
2022,かとう涼子,Female,52,Nishitokyo-Citizens' Network,4.26,2757,"{Welfare:[ジェンダー平等, 高齢者福祉], Education:[なし],
 City:[なし], Other:[地元愛, 地球温暖化対策, 地域活動支援]}",4.59,2772,法政大学社会学部卒,1,1,市議
2022,納田さおり,Female,52,Non,3.97,2569,"{Welfare:[高齢者福祉, 介護従事者支援], 
Education:[大学生世帯家計支援, 多様な保育, ひとり親家庭支援], City:[田無駅南口魅力創造, 下野谷遺跡に博物館設置, 中央図書館構想, 防災（火災、水害、要支援者）, 東大農場との連携], Other:[未来都市, がん患者就労支援, メンタルケア, ハラスメント防止]}",3.46,2087,危機管理士1級/ 防災士。一期目には、子連れ傍聴を実現させた,1,1,市議
2022,保谷なおみ,Female,60,Liberal Democrats,3.97,2569.868,"{Welfare:[高齢者福祉, 学校給食無償化, く後世までの医療費無償化], Education:[なし], City:[西武線連続立体化, 集合住宅の災害対策, 東伏見公園整備, 文理台公園リニューアル], Other:[引きこもり対策, フリーWi-Fi整備, 行政のオンライン化, 地産地消]}",3.92,2367.32,東京大学文学部卒,1,1,市議
2022,後藤ゆう子,Female,56,Nishitokyo-Citizens' Network,3.92,2533,"{Welfare:[ジェンダー平等, 高齢者福祉], Education:[なし],
 City:[なし], Other:[地元愛, 地球温暖化対策, 地域活動支援]}",4.48,2705,大阪府吹田市出身,1,1,市議
2022,菅原みほ,Female,47,Constitutional Democrats,3.59,2323,"{Welfare:[高齢者福祉, ヤングケアラー支援, 給食費無償化,
 子育て支援, ペットとの共生], Education:[なし], City:[災害時用トイレ増設], Other:[フリーWi-Fi拡充]}",N/A,N/A,動物愛護活動家,1,N/A,市議
2022,山崎英昭,Male,50,Japan Restoration,3.45,2233,"{Welfare:[子育て支援],  Education:[なし], City:
[連続立体交差化事業, 踏切拡幅, 道路環境整備, 文化芸術拠点の建築, 緑の維持], Other:[情報公開, 電子公文書館, 電子市役所, コミュニティ再構築]}",1.29,776,明治大学大学院ガバナンス研究科修了,1,0,市議
2022,鈴木ゆうま,Male,36,Democratic Party for the People,3.15,2039,"{Welfare:[学校給食無償化, 保育料・障がい児童福祉手当の所得制限撤廃, 子育て支援], 
Education:[給付型奨学金, 地域コミュニティ振興, 片親家庭支援, 本と芸術のまち], City:[道路整備, 高齢者の市バス無償化, 乗り合いバス, AIによる独り暮らし高齢者支援, 保谷駅前をファミリー向けに], Other:[行政成果の見える化, ペットとの共生]}",N/A,N/A,全国で事業立ち上げを経験した。,1,N/A,市議
